"","Gene.symbol","Astrocytes","Neuron","Oligodendrocyte.Precursor.Cell","Newly.Formed.Oligodendrocyte","Myelinating.Oligodendrocytes","Microglia","Endothelial.Cells"
"300","Sez6l2",0.4,89.9,11.7,11.2,44.9,1.1,0.7
"301","Map1lc3b",31.3,89.8,96.2,89.7,89.5,81.1,92.8
"302","Cadm4",92.6,89.7,290.1,437.5,282,7.9,8.6
"303","Atp6v1e1",23.7,89.7,50.8,69,81.6,70.4,70.9
"304","Tmem59",109.4,89.5,162.8,178.7,144.5,148.2,232.8
"305","Ypel3",13.5,89.1,32.2,22.4,44.3,68.4,25.1
"306","Sdc3",39.2,88.9,323.5,71.4,2.7,9.4,23.8
"307","Atp6v0d1",33.1,88.9,81.4,96.7,66.6,136,64.8
"308","Araf",36.4,87.7,35.4,43.9,28,15.6,22.6
"309","Eif4h",44.2,87.6,90.7,86,114.7,111.7,90.2
"310","Tuba1c",16.1,87.5,54.3,72.1,45.9,123.9,77.2
"311","Brd2",87.9,87.5,60.2,67.2,43.6,102.9,89.3
"312","Dner",46.5,87,100,26,8.4,0.6,0.6
"313","Rtn4",27.7,87,35.4,149,92.5,49,46.5
"314","Laptm4a",155.7,86.6,210.9,89.2,35.7,166.3,356.1
"315","Dync1i1",0.3,86.4,2.1,0.7,1.9,0.7,4.1
"316","Nudt3",80.1,86.2,52.4,84.3,124.7,70.9,28.7
"317","Hnrnpab",32.4,85.6,73.1,77.7,35.9,87.2,94
"318","Cox7a2",40.4,85.5,82.1,85.4,110,58.7,137.1
"319","Pcsk1n",5.8,85.4,126.4,54,57.3,24.6,0.7
"320","Sep15",99.8,85.4,196.1,266.6,193.5,116.1,320
"321","Nedd4",108.3,84.7,82.8,73.5,32.6,1.3,138.4
"322","Cnih2",3.5,84.7,34,13.3,26.4,17.1,1.7
"323","Pld3",33.3,84.5,62.1,28.4,34.3,166.4,30.6
"324","Mapk3",16.5,84.3,21.8,141.1,252.9,149.8,107.2
"325","Ctsd",187.2,84.3,379.5,180.7,161.2,9717.9,131.6
"326","Tpi1",39.7,84.2,55,45.9,67.6,95.1,73.5
"327","Atp6v1b2",23.1,83.9,56.3,49.1,44.9,94.8,35
"328","Csdc2",78.1,83.8,10.1,3.1,7.6,4.3,1.1
"329","Mtap2",63.6,83.8,79.5,42.8,8.3,1.9,1.1
"330","Pkm2",53.8,83.6,110.1,95.4,51.8,153.6,219.3
"331","Ncdn",7.1,83.4,34.8,56.7,42.6,24.9,4.6
"332","Npas4",2,83.3,1.4,0.3,0.3,0.4,0.2
"333","Atp5j2",34.5,83.1,88.4,85.9,99.9,97.8,160.6
"334","Srp14",28.3,82.7,67.9,122.4,140.5,64.4,120.4
"335","Eno2",5,82.6,16.2,15.5,22.6,35.3,1.5
"336","Pfn1",76.9,82.6,163.6,216.9,203.5,766.5,469.8
"337","Rnf11",25.1,82.5,42.9,37.5,31.1,13.6,48.4
"338","Ociad1",45.3,82.3,75.9,78.6,67.7,78,81.8
"339","Gm15421",69.5,82.1,65.8,57.5,33.6,39.4,235.3
"340","Paip2",37.6,82,44.9,52.5,57.7,24.5,127.6
"341","Ccni",23.7,82,63.3,49.9,79.2,124.1,101.6
"342","Ttc3",35.7,81.9,49.1,18.4,5.6,3.1,15.2
"343","Atp5c1",52,81.5,104.6,92.8,78.3,80.7,160.1
"344","Syt4",2.9,81.4,5.3,2.3,0.6,0.3,0.5
"345","Tagln3",68.9,81.1,52,11.2,10.1,7.3,4.4
"346","Cdk5r1",1.6,81.1,21.6,8.3,3.3,23.8,1
"347","Prkacb",14.8,81.1,35.6,28.9,35.7,12.4,21.5
"348","Ndufb2",29.6,80.8,65.4,60.3,64.6,37.1,120
"349","Ubqln2",20,80.8,33.2,16.4,9.7,6.4,7.4
"350","BC005537",46.7,80.6,47.8,44,25.3,30.5,25.2
"351","Ptn",913.8,80.4,328.6,150.7,202.3,4.8,89.2
"352","Mtpn",42.5,80.1,63.7,41.7,10.8,17.3,75.7
"353","Snap91",4.8,79.9,23.6,13.5,6.6,2,0.6
"354","Lmna",28.6,79.6,14.4,16.1,31.7,39.7,30.6
"355","Rcan2",0.4,79.4,16.3,10.5,19.1,0.9,1.8
"356","Pgam1",40.1,79.1,91.6,91.9,77.2,75.8,44.2
"357","Scg3",320.6,78.8,102,23.3,15.4,4.3,1.3
"358","Ap2s1",18.1,78.7,59.1,68.8,91,94.5,78.7
"359","Anapc5",35,78.3,50.2,38.8,42.3,31.2,58.7
"360","Apbb1",14.7,77.9,48.3,156.7,199.7,12.1,2.7
"361","Tmbim6",141.6,77.8,270.3,211.8,222,425.4,167.6
"362","Thy1",7.5,77.6,13.2,2.8,12.1,11.5,2.3
"363","Hnrnpl",86,77.5,103.3,102.3,32.3,102.8,110.6
"364","Slc24a3",11.6,77.5,18.9,17.5,4.8,7.2,0.4
"365","Ndufc2",47.2,77.3,80.2,72.8,83.1,52.6,121.5
"366","Tmem163",0.3,77,47.5,277.4,96.6,0.5,0.5
"367","Miat",34.7,76.9,17,6,0.4,1.1,0.2
"368","Cyc1",67.5,76.9,89.2,72.4,58.8,75.3,76.7
"369","Rnf14",26,76.8,33,38.1,29.3,11.2,30.2
"370","Ccl27a",8.3,76.6,12.4,6.1,13.9,13.5,4.7
"371","Fkbp8",36.6,76.5,77.8,86,99.1,99.6,92.4
"372","Kcnip2",0.6,76.3,8.1,10.7,2.6,2.4,0.3
"373","Eif1b",49.7,76.1,119.5,108.9,72.1,66.6,62.3
"374","Rpl15",23.1,76.1,78.1,63.1,56.5,154.6,224.8
"375","Nedd8",32.2,76.1,75.4,69.5,63.2,77.3,105.3
"376","Elavl3",2.1,75.8,12.4,69.9,53.9,1,0.2
