"","ident","AQP4","SLC1A3","rna_HEPACAM","CD44","NGFR","NCAM1","CD24","rna_FUT4","CXCR4","PDGFRA","rna_ITGB2","rna_ITGB1","rna_TF","NKX2-2","rna_PROM1","MAP2"
"67","Astrocytes",0.122396839109618,4.43306210866212,0,0.243898170221455,0.0448043854105617,3.63451945639043,5.28738386739008,0,1.44250384799889,0,0,2,0,0.0545594080903577,0,5.19822971754525
"68","Radial Glia - 2",0,0.0574596764675576,0,0.000974672841481183,0.0118933042858158,4.99236188552799,17.1205071324739,0,0.338199417306869,0.0852004840696775,0,0,0,0,0,4.87123070551298
"69","Neurons - 2",0,0.0766900882049306,0,0,0.884452068342116,8.29615356997748,24.2855316500593,0,0.230333523119937,0.0650846561066812,0,5,0,0,0,9.99721668025098
"70","Neurons - 1",0,-0.0100499990370422,0,-0.00374627488160081,0.192311105930163,0.309478972424168,6.69343407537017,0,0.998206908570023,0.00107728205422641,0,1,0,0.0557192658478646,0,3.13414909996213
"71","Radial Glia - 1",0,0.30717942719316,0,0.0109316611191148,0.301246293502763,-0.0344256747856409,2.59099407179551,0,3.01999863284119,0,0,2,0,0,0,-0.11775241209699
"72","Neurons - 2",0,0.0649123684779825,0,0,-0.0626602228117257,8.78070344021915,-13.9090384433743,0,3.30162578806708,0.0553921458036911,0,3,0,0,0,22.0746080147573
"73","Radial Glia - 2",0,0.0516520462449322,0,0,-0.00368395999201399,1.21254160553779,16.5714171546891,0,0.360363037674355,0.0978998657505152,0,0,0,0.000385313809548656,0,5.79846886596792
"74","Radial Glia - 1",0,0.714600822833128,0,0,0.0643912356260606,0.539341501021614,3.89829014995458,0,0.430374125017551,0,0,1,0,0.0016846838367679,0,-0.123690360935874
"75","Radial Glia - 2",0,0.056267828459632,0,0,0.12430350359902,0.646267679161925,4.24864131304462,0,-0.0769642512723951,0,0,0,0,0.045280615368661,0,0.0867275304377218
"76","Mixed",0,0.00392365908055639,0,0.040101237056784,1.20728097375257,0.211377280167021,2.73182081959657,0,0.0966641355359877,0,0,6,0,0.0327628327099442,0,0.71940842388839
"77","Radial Glia - 1",0,-0.150317289185467,0,0,0.0744233847755986,0.993845927023323,7.35283218621893,0,0.463809069181273,0,0,1,0,0,0,0.30446604585203
"78","NPC",0,0.0313373205286638,0,0,0.229807600001143,-0.218992290076922,5.7200186708221,0,0.243898192591515,0,0,2,0,0.0955022456051322,0,6.79309238755673
"79","NPC",0,0.0269978429024982,0,0,-0.0408962647614963,3.99553026053604,5.92799702453569,0,0.042507401204057,0.00932767859651829,0,1,0,0.0121083475115743,0,0.886992651102038
